objectid,filename,img_thumb,institution,display_template,format,parentid,prefix,subject,title,collection-name,date,date-descriptive,place,photographer,description,usage,maori-fashion-keyword,Flickr account (if applicable)
maori-glass-bw-011,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE325690,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE325690,The National Library of New Zealand,image,image/jpeg,,maori-glass-bw,woman (wahine); portrait; cloak,Mary Hiki,"Carnell, Samuel 1832-1920 :Maori portrait negatives / Carnell, Samuel 1832-1920 :Maori portrait negatives",1880,8-16-1887,,"Carnell, Samuel, 1832-1934","
Carte de visite portrait of Mary Hiki, taken 16 August 1887 by Samuel Carnell of Napier.

Dated from use of dry plate process.",Partly restricted - Please use surrogate in place of original,,
maori-glass-bw-012,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE8935,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE8935,The National Library of New Zealand,image,image/jpeg,,maori-glass-bw,woman (wahine); portrait; cloak,Karaena (Maori woman from Hawkes Bay district),"Carnell, Samuel 1832-1920 :Maori portrait negatives / Carnell, Samuel 1832-1920 :Maori portrait negatives",1880,1-14-1885,Hawkes Bay district,"Carnell, Samuel, 1832-1934","Carte de visite portrait of Karaena, a Maori woman from the Hawkes Bay district, wearing a korowai (tag cloak), taken on 14 January 1885 by Samuel Carnell of Napier.

Inscriptions: Marginal notes on negative - centre right - Karaena 14/1/85

The korowai appears in other photographs by Carnell, and was probably owned by the studio.",Partly restricted - Please use surrogate in place of original,,
maori-glass-bw-013,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE62327201,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE62327201,The National Library of New Zealand,image,image/jpeg,,maori-glass-bw,woman (wahine); portrait,Maori woman from Hawkes Bay district,"Carnell, Samuel 1832-1920 :Maori portrait negatives / Carnell, Samuel 1832-1920 :Maori portrait negatives",1900,3-1-1901,Hawkes Bay district,"Carnell, Samuel, 1832-1934","Cabinet card portrait of a Maori woman from the Hawkes Bay district taken in March 1901 by Samuel Carnell of Napier.

Dated from use of dry plate process and cabinet card format, and presence of retouching on face.",Partly restricted - Please use surrogate in place of original,,
maori-glass-bw-014,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE335680,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE335680,The National Library of New Zealand,image,image/jpeg,,maori-glass-bw,woman (wahine); portrait; cloak,Arihi Te Nahu,"Carnell, Samuel 1832-1920 :Maori portrait negatives / Carnell, Samuel 1832-1920 :Maori portrait negatives",1892,12-16-1892,,"Carnell, Samuel, 1832-1920","Cabinet card portrait of Arihi Te Nahu, of Te Hauke, taken on 16 December 1892 by Samuel Carnell of Napier.",Partly restricted - Please use surrogate in place of original,,
maori-glass-bw-015,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE76777,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE76777,The National Library of New Zealand,image,image/jpeg,,maori-glass-bw,woman (wahine); portrait; cloak,Young Maori girl from Hawkes Bay,"Carnell, Samuel 1832-1920 :Maori portrait negatives / Carnell, Samuel 1832-1920 :Maori portrait negatives",1880,Between 1880 and 1900,Hawkes Bay district,"Carnell, Samuel, 1832-1921","Carte de visite portrait of a young Maori girl from Hawkes Bay, taken, probably between 1880 and 1900, by Samuel Carnell of Napier.

Dated from Carnell's use of the dry plate process later in his career.",Partly restricted - Please use surrogate in place of original,,
maori-glass-bw-016,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE68897,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE68897,The National Library of New Zealand,image,image/jpeg,,maori-glass-bw,woman (wahine); portrait; cloak,Riria Pouaru,"Carnell, Samuel 1832-1920 :Maori portrait negatives / Carnell, Samuel 1832-1920 :Maori portrait negatives",1880,1884,,"Carnell, Samuel, 1832-1922","Carte de visite portrait of Riria Pouaru, wife of Paora Rerepu of Mohaka, taken by Samuel Carnell of Napier.

The date on the inscription is probably 30 3 84. This date is inscribed on portrait negatives of Paora Rerepu, her husband, and Maria, their daughter. It is likely that this represents a family visit to Carnell's studio.",Partly restricted - Please use surrogate in place of original,,
maori-glass-bw-017,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE73530,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE73530,The National Library of New Zealand,image,image/jpeg,,maori-glass-bw,woman (wahine); portrait; pair; cloak,Maori women from Hawkes Bay district,"Carnell, Samuel 1832-1920 :Maori portrait negatives / Carnell, Samuel 1832-1920 :Maori portrait negatives",1880,Between 1890 and 1900,Hawkes Bay district,"Carnell, Samuel, 1832-1923","
Cabinet card portrait of two Maori women from the Hawkes Bay district, holding a kahu huruhuru (feather cloak), taken, probably in the 1890s, by Samuel Carnell of Napier.

Dated from use of dry plate process and cabinet card format, and presence of retouching on face.

The kahu huruhuru appears in other portraits by Carnell, and was probably owned by the studio.",Partly restricted - Please use surrogate in place of original,,
maori-glass-bw-018,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE43379,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE43379,The National Library of New Zealand,image,image/jpeg,,maori-glass-bw,woman (wahine); portrait; cloak,Portrait of a woman,"Carnell, Samuel 1832-1920 :Maori portrait negatives / Carnell, Samuel 1832-1920 :Maori portrait negatives",1890,1890,,"Carnell, Samuel, 1832-1924","
Shows a woman with a moko. A cloak is on her lap. Photograph taken by Samuel Carnell 1890.
",Partly restricted - Please use surrogate in place of original,,
maori-glass-bw-019,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE79135,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE79135,The National Library of New Zealand,image,image/jpeg,,maori-glass-bw,woman (wahine); portrait,Maori woman from Hawkes Bay,"Carnell, Samuel 1832-1920 :Maori portrait negatives / Carnell, Samuel 1832-1920 :Maori portrait negatives",1870,"
[Between 1870 and 1880]",Hawkes Bay,"Carnell, Samuel, 1832-1925","
Carte de visite portrait of a Maori woman from Hawkes Bay, taken, probably in the 1870s, by Samuel Carnell of Napier.

Date assigned on the basis that Carnell used the wet collodion process early in his career.",Partly restricted - Please use surrogate in place of original,,
maori-glass-bw-020,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE8830,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE8830,The National Library of New Zealand,image,image/jpeg,,maori-glass-bw,woman (wahine); portrait; cloak,Maori woman from Hawkes Bay district,"Carnell, Samuel 1832-1920 :Maori portrait negatives / Carnell, Samuel 1832-1920 :Maori portrait negatives",1880,"
[Between 1880 and 1900]",Hawkes Bay,"Carnell, Samuel, 1832-1926","
Carte de visite portrait of an unidentified Maori woman, taken, probably in the 1880s, by Samuel Carnell of Napier.

Dated from use of dry plate process.",Partly restricted - Please use surrogate in place of original,facial tattoo,
maori-glass-bw-021,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE171591,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE171591,The National Library of New Zealand,image,image/jpeg,,maori-glass-bw,woman (wahine); portrait,Maori woman from Hawkes Bay district,"Carnell, Samuel 1832-1920 :Maori portrait negatives / Carnell, Samuel 1832-1920 :Maori portrait negatives",1880,"
[Between 1880 and 1900]",Hawkes Bay,"Carnell, Samuel, 1832-1927","
Carte de visite portrait of a Maori woman from Hawkes Bay, taken, probably between 1880 and 1900, by Samuel Carnell of Napier.

Dated from Carnell's use of the dry plate process later in his career.",Partly restricted - Please use surrogate in place of original,facial tattoo,
maori-glass-bw-022,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE322778,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE322778,The National Library of New Zealand,image,image/jpeg,,maori-glass-bw,woman (wahine); portrait,Maori woman from Hawkes Bay district,"Carnell, Samuel 1832-1920 :Maori portrait negatives / Carnell, Samuel 1832-1920 :Maori portrait negatives",1880,11-23-1880,Hawkes Bay,"Carnell, Samuel, 1832-1928","
Carte de visite portrait of an unidentified Maori woman from the Hawkes Bay district, taken 23 November 1880 by Samuel Carnell of Napier.",Partly restricted - Please use surrogate in place of original,,
maori-glass-bw-023,https://natlib.govt.nz/records/22714247?search%5Bi%5D%5B-category%5D=Groups&search%5Bi%5D%5Bcollection_any_id%5D=77989&search%5Bpage%5D=9&search%5Bpath%5D=items,https://natlib.govt.nz/records/22714247?search%5Bi%5D%5B-category%5D=Groups&search%5Bi%5D%5Bcollection_any_id%5D=77989&search%5Bpage%5D=9&search%5Bpath%5D=items,The National Library of New Zealand,image,image/jpeg,,maori-glass-bw,woman (wahine); portrait,Maori woman from Hawkes Bay district,"Carnell, Samuel 1832-1920 :Maori portrait negatives / Carnell, Samuel 1832-1920 :Maori portrait negatives",1870,"
[Between 1870 and 1879]",Hawkes Bay,"Carnell, Samuel, 1832-1929","Carte de visite portrait of a Maori woman from Hawkes Bay, taken, probably between 1870 and 1879, by Samuel Carnell of Napier.

Dated from Carnell's use of the wet collodion process earlier in his career.",Partly restricted - Please use surrogate in place of original,,
maori-glass-bw-024,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE7033,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE7033,The National Library of New Zealand,image,image/jpeg,,maori-glass-bw,woman (wahine); portrait,Pani (young Maori woman),"Carnell, Samuel 1832-1920 :Maori portrait negatives / Carnell, Samuel 1832-1920 :Maori portrait negatives",1891,3-31-1891,Hawkes Bay,"Carnell, Samuel, 1832-1930","Carte de visite portrait of Pani, a young Maori woman, taken 31 March 1891 by Samuel Carnell of Napier.",Partly restricted - Please use surrogate in place of original,,
maori-glass-bw-025,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE74033,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE74033,The National Library of New Zealand,image,image/jpeg,,maori-glass-bw,woman (wahine); portrait; cloak,Erena Tae,"Carnell, Samuel 1832-1920 :Maori portrait negatives / Carnell, Samuel 1832-1920 :Maori portrait negatives",1885,1-10-1885,,"Carnell, Samuel, 1832-1931","Carte de visite portrait of Erena Tae, daughter of Reihana Wahapaukena of Waipatu Pa, taken 10 January 1885 by Samuel Carnell of Napier.

Identified from 1/4-022101-G, taken at same sitting.",Partly restricted - Please use surrogate in place of original,,
maori-glass-bw-026,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE335953,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE335953,The National Library of New Zealand,image,image/jpeg,,maori-glass-bw,man (tāne); portrait; cloak,Nireaha Tamaki,"
Carnell, Samuel 1832-1920 :Maori portrait negatives / Carnell, Samuel 1832-1920 :Maori portrait negatives",1880,Between 1880 and 1900,,"Carnell, Samuel, 1832-1925","Upper body portrait of Nireaha Tamaki, a leading Wairarapa rangatira wearing a kakahu (cloak). Taken by Samuel Carnell circa 1880-1890.

Inscriptions: Marginal notes on negative - centre right - Nireaha

Quantity: 1 b&w original negative(s).

Physical Description: Dry plate glass negative 4.25 x 3.25 inches",Partly restricted - Please use surrogate in place of original,,
maori-glass-bw-027,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE107958,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE107958,The National Library of New Zealand,image,image/jpeg,,maori-glass-bw,man (tāne); portrait; cloak,Te Uranga,"Carnell, Samuel 1832-1920 :Maori portrait negatives / Carnell, Samuel 1832-1920 :Maori portrait negatives",1880,4-4-1884,Hawkes Bay district,"Carnell, Samuel, 1832-1926","Carte de visite portrait of Te Uranga, a Maori man from the Hawkes Bay district, wearing a kahu huruhuru (feather cloak), taken 4 April 1884 by Samuel Carnell of Napier.

Other portraits of this man, taken at the same sitting, are held at 1/4-022078-G and 1/4-022173-G.

Inscriptions: Marginal notes on negative - centre right - Teuranga 4/4/84

The kahu huruhuru appears in other portraits by Carnell, and was probably owned by the studio. Te Uranga is not wearing this cloak in other portraits taken at the same sitting.

Quantity: 1 b&w original negative(s).

Physical Description: Dry plate glass negative 4.25 x 3.25 inches",Partly restricted - Please use surrogate in place of original,,
maori-glass-bw-028,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE43118,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE43118,The National Library of New Zealand,image,image/jpeg,,maori-glass-bw,man (tāne); portrait; cloak,Maori man from Hawkes Bay district,"Carnell, Samuel 1832-1920 :Maori portrait negatives / Carnell, Samuel 1832-1920 :Maori portrait negatives",1880,Between 1880 and 1890,Hawkes Bay district,"Carnell, Samuel, 1832-1927","Maori man from Hawkes Bay district, with a moko and wearing a kakahu (cloak), photographed, probably in the 1880s, by Samuel Carnell of Napier.

Dated from Carnell's use of the dry-plate process later in his career.

Another portrait of this man, probably taken at the same sitting, is at 1/4-022209-G.

Quantity: 1 b&w original negative(s).

Physical Description: Dry plate glass negative 4.25 x 3.25 inches",Partly restricted - Please use surrogate in place of original,,
maori-glass-bw-029,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE82571,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE82571,The National Library of New Zealand,image,image/jpeg,,maori-glass-bw,man (tāne); portrait; cloak,Ahipene Te Tawa,"Carnell, Samuel 1832-1920 :Maori portrait negatives / Carnell, Samuel 1832-1920 :Maori portrait negatives",1880,Between 1880 and 1900,,"Carnell, Samuel, 1832-1928","Carte de visite portrait of Ahipene Te Tawa of Paki Paki, wearintg a korowai (tag cloak), taken, probably in the 1880s, by Samuel Carnell of Napier.

Dated from Carnell's use of the dry plate process later in his career.

The korowai appears in other portraits by Carnell, and was probably owned by the studio.

Quantity: 1 b&w original negative(s).

Physical Description: Dry plate glass negative 4.25 x 3.25 inches",Partly restricted - Please use surrogate in place of original,,
